recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989906905294,-3.2348633,-0.8544922,-2.7484894,0.007812504,-0.6582031,0.7636719,0.8635527865408898,-41.29146511488173,65.79919927285823,0.78712237,-0.29986367,-0.18558867,0.5060399
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989912994294,-2.2583008,-0.5493164,-2.626419,0.0092773475,-0.6738281,0.76660156,0.8260396948206601,-41.31110294188111,65.75952913956513,0.7871866,-0.29989675,-0.18583,0.5058318
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989919083294,-1.5239716,0.12397766,-2.0771027,-0.0043945312,-0.6635742,0.7856445,0.8021577097305546,-41.318781879578985,65.72801400351462,0.7872674,-0.29989505,-0.18594576,0.5056646
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989925172294,-0.9765625,0.061035156,-1.4667511,-0.009765618,-0.67041016,0.77685547,0.7880273787393057,-41.32688620736367,65.70847766849599,0.78730994,-0.2999199,-0.18602777,0.5055534
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989931261294,-0.9765625,0.48828125,-0.55122375,-0.009277344,-0.6635742,0.77197266,0.7878348331358088,-41.321112636167946,65.70834855372206,0.78732497,-0.29987973,-0.18600307,0.50556296
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989941042294,-0.79345703,0.5493164,0.3643036,-0.003417965,-0.6582031,0.76220703,0.7841290047770972,-41.315953929675594,65.70590170669676,0.7873429,-0.29983202,-0.18599918,0.5055647
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989950824294,-0.85258484,0.85258484,1.5239716,0.0029296912,-0.6694336,0.7646484,0.7997023234028581,-41.31884353125301,65.72035174002238,0.78729707,-0.29989707,-0.18594286,0.5056183
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989960606294,-1.0356903,0.7953644,2.0122528,0.0039062575,-0.6748047,0.7578125,0.8106342873283594,-41.326971396987524,65.73476045598193,0.78723043,-0.29997757,-0.18594162,0.50567466
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989970388294,-1.3408661,0.54740906,2.3784637,0.014160164,-0.65527344,0.7646484,0.8268884813504856,-41.33912548297979,65.75838317860952,0.78712153,-0.3000942,-0.18594591,0.5057735
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989980170294,-1.5850067,0.85258484,3.4770966,0.01806641,-0.6694336,0.7558593,0.8422215466409556,-41.34692725034714,65.78485603176898,0.7870096,-0.3001723,-0.18594466,0.5059017
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989989830294,-1.953125,1.3427734,3.5381317,0.0092773475,-0.68408203,0.75390625,0.8871044512593639,-41.38301771113561,65.84786229728371,0.78671205,-0.30051517,-0.1859624,0.5061544
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989999493294,-2.5634766,1.7089844,3.232956,0.032226566,-0.6767578,0.75,0.9078596600743312,-41.40455065610033,65.8742259641342,0.7865743,-0.30071133,-0.18598507,0.5062437
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990009156294,-3.293991,2.0122528,2.7446747,0.023437504,-0.6738281,0.75683594,0.9261164629560158,-41.43378217300926,65.89398917385917,0.786442,-0.30095977,-0.18604201,0.5062808
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990018819294,-3.660202,2.3174286,2.073288,0.02197266,-0.66308594,0.7524414,0.9431959694646612,-41.46493681012784,65.90872970441572,0.786325,-0.30122423,-0.1861025,0.506283
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990028482294,-4.0893555,1.5869141,1.8901825,0.027832035,-0.6689453,0.76562494,0.9552578949863223,-41.49790637706243,65.92054710037753,0.7862081,-0.30148363,-0.18619789,0.50627506
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990038197294,-3.4179688,1.7089844,1.8901825,0.012695316,-0.68408203,0.7861328,0.9646095961804687,-41.52815461619392,65.92826885344911,0.78611183,-0.30171907,-0.18628901,0.5062508
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990047912294,-2.3155212,1.5869141,1.4019012,0.0126953125,-0.6748047,0.76513666,0.9718935210643652,-41.54700080794109,65.93532028339396,0.7860443,-0.30186853,-0.1863417,0.50624716
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990057627294,-1.4648438,1.5258789,0.97465515,0.010253906,-0.6899414,0.7578125,0.9812241282410031,-41.55992549534823,65.94193344764707,0.7859972,-0.3019873,-0.1863528,0.50624543
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990067342294,-1.4648438,1.953125,1.3408661,0.011230469,-0.67529297,0.7529297,0.9929774823672727,-41.57553623614869,65.94824899893977,0.78594846,-0.30213556,-0.1863585,0.50623053
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990077057294,-1.0967255,2.500534,0.85258484,0.01416016,-0.68359375,0.7583008,1.0050544768689076,-41.586860065665164,65.9495931651468,0.7859332,-0.30226406,-0.18632975,0.50618815
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990086778294,-1.707077,3.1719208,-0.30708313,0.0053710938,-0.6899414,0.7700195,1.0230435448514623,-41.61439027848826,65.92943337516482,0.785981,-0.3025643,-0.18627602,0.5059543
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990096498294,-1.4648438,2.8686523,-0.42915344,0.0073242188,-0.67529297,0.75537103,1.0385154278601987,-41.627022212755584,65.92004968393357,0.7860152,-0.3027341,-0.18620147,0.505827
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990106218294,-1.4019012,3.1108856,-0.67329407,-0.01318359,-0.67822266,0.76025385,1.0577996477977032,-41.639616661643416,65.91041088571806,0.7860568,-0.30292088,-0.1860999,0.5056879
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990115938294,-1.707077,2.500534,-0.4901886,-0.0024414025,-0.6772461,0.76513666,1.0718931733413892,-41.651452990510066,65.90153876831177,0.7860885,-0.3030783,-0.18603256,0.50556904
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990125658294,-1.0356903,2.500534,-0.3681183,-0.010742184,-0.6689453,0.77197266,1.092431063634995,-41.658894078525115,65.8977778611467,0.7861194,-0.30322582,-0.18591492,0.5054759
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990135308294,-0.18119812,1.9550323,-0.24604797,-0.0058593713,-0.6743164,0.7636719,1.1045951978813038,-41.66307556338667,65.89189891817,0.7861543,-0.30331755,-0.18583456,0.505396
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990144959294,-0.059127808,1.9550323,-0.062942505,-0.020019524,-0.68603516,0.78125,1.1188362903263462,-41.6621019793951,65.88918629736078,0.7861919,-0.3033781,-0.18572533,0.5053414
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990154610294,0.42915344,1.9550323,0.30326843,-0.010742184,-0.68310547,0.76562494,1.1341048021346882,-41.65664007105231,65.88881648771144,0.78623223,-0.30340874,-0.18559523,0.50530803
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990164261294,0.7324219,2.0751953,0.4863739,-0.017578125,-0.6850586,0.76660156,1.1540322206612925,-41.64761395079734,65.89223377275614,0.7862725,-0.30342945,-0.18542728,0.50529456
